model,task,clf,metric,fold,score_cv,k
esmc_300M,species_label,LogReg,f1_macro,0,0.6611,15
esmc_300M,species_label,LogReg,f1_macro,1,0.8662,15
esmc_300M,species_label,LogReg,f1_macro,2,0.8082,15
esmc_300M,species_label,LogReg,f1_macro,3,0.9035,15
esmc_300M,species_label,LogReg,f1_macro,4,1.0,15
esmc_300M,species_label,LogReg,f1_macro,5,0.6827,15
esmc_300M,species_label,LogReg,f1_macro,6,0.9035,15
esmc_300M,species_label,LogReg,f1_macro,7,0.9524,15
esmc_300M,species_label,LogReg,f1_macro,8,0.9222,15
esmc_300M,species_label,LogReg,f1_macro,9,1.0,15
esmc_300M,species_label,LogReg,f1_macro,10,0.9187,15
esmc_300M,species_label,LogReg,f1_macro,11,0.6643,15
esmc_300M,species_label,LogReg,f1_macro,12,0.7272,15
esmc_300M,species_label,LogReg,f1_macro,13,0.8031,15
esmc_300M,species_label,LogReg,f1_macro,14,0.8534,15
esmc_300M,species_label,RF,f1_macro,0,0.3485,15
esmc_300M,species_label,RF,f1_macro,1,0.6865,15
esmc_300M,species_label,RF,f1_macro,2,0.9035,15
esmc_300M,species_label,RF,f1_macro,3,0.4268,15
esmc_300M,species_label,RF,f1_macro,4,0.9591,15
esmc_300M,species_label,RF,f1_macro,5,0.6972,15
esmc_300M,species_label,RF,f1_macro,6,1.0,15
esmc_300M,species_label,RF,f1_macro,7,0.8423,15
esmc_300M,species_label,RF,f1_macro,8,0.9222,15
esmc_300M,species_label,RF,f1_macro,9,0.6916,15
esmc_300M,species_label,RF,f1_macro,10,0.8147,15
esmc_300M,species_label,RF,f1_macro,11,0.6786,15
esmc_300M,species_label,RF,f1_macro,12,0.4018,15
esmc_300M,species_label,RF,f1_macro,13,0.6625,15
esmc_300M,species_label,RF,f1_macro,14,0.7976,15
esmc_300M,species_label,MLP,f1_macro,0,0.65,15
esmc_300M,species_label,MLP,f1_macro,1,0.8662,15
esmc_300M,species_label,MLP,f1_macro,2,0.7965,15
esmc_300M,species_label,MLP,f1_macro,3,0.8535,15
esmc_300M,species_label,MLP,f1_macro,4,1.0,15
esmc_300M,species_label,MLP,f1_macro,5,0.6827,15
esmc_300M,species_label,MLP,f1_macro,6,0.9591,15
esmc_300M,species_label,MLP,f1_macro,7,0.9524,15
esmc_300M,species_label,MLP,f1_macro,8,0.6605,15
esmc_300M,species_label,MLP,f1_macro,9,0.9524,15
esmc_300M,species_label,MLP,f1_macro,10,0.9187,15
esmc_300M,species_label,MLP,f1_macro,11,0.725,15
esmc_300M,species_label,MLP,f1_macro,12,0.7998,15
esmc_300M,species_label,MLP,f1_macro,13,0.8611,15
esmc_300M,species_label,MLP,f1_macro,14,0.8534,15
esmc_300M,tm_label,LogReg,mcc,0,0.131,15
esmc_300M,tm_label,LogReg,mcc,1,0.4568,15
esmc_300M,tm_label,LogReg,mcc,2,0.2699,15
esmc_300M,tm_label,LogReg,mcc,3,0.3483,15
esmc_300M,tm_label,LogReg,mcc,4,0.4568,15
esmc_300M,tm_label,LogReg,mcc,5,0.3483,15
esmc_300M,tm_label,LogReg,mcc,6,0.6167,15
esmc_300M,tm_label,LogReg,mcc,7,0.6436,15
esmc_300M,tm_label,LogReg,mcc,8,0.1298,15
esmc_300M,tm_label,LogReg,mcc,9,0.1298,15
esmc_300M,tm_label,LogReg,mcc,10,0.2687,15
esmc_300M,tm_label,LogReg,mcc,11,0.1633,15
esmc_300M,tm_label,LogReg,mcc,12,0.2687,15
esmc_300M,tm_label,LogReg,mcc,13,0.3474,15
esmc_300M,tm_label,LogReg,mcc,14,0.1034,15
esmc_300M,tm_label,RF,mcc,0,0.0,15
esmc_300M,tm_label,RF,mcc,1,0.0,15
esmc_300M,tm_label,RF,mcc,2,0.0,15
esmc_300M,tm_label,RF,mcc,3,0.0,15
esmc_300M,tm_label,RF,mcc,4,0.0,15
esmc_300M,tm_label,RF,mcc,5,0.0,15
esmc_300M,tm_label,RF,mcc,6,0.0,15
esmc_300M,tm_label,RF,mcc,7,0.0,15
esmc_300M,tm_label,RF,mcc,8,0.0,15
esmc_300M,tm_label,RF,mcc,9,0.0,15
esmc_300M,tm_label,RF,mcc,10,0.0,15
esmc_300M,tm_label,RF,mcc,11,0.0,15
esmc_300M,tm_label,RF,mcc,12,0.0,15
esmc_300M,tm_label,RF,mcc,13,0.0,15
esmc_300M,tm_label,RF,mcc,14,0.0,15
esmc_300M,tm_label,MLP,mcc,0,-0.0532,15
esmc_300M,tm_label,MLP,mcc,1,-0.0373,15
esmc_300M,tm_label,MLP,mcc,2,-0.0373,15
esmc_300M,tm_label,MLP,mcc,3,0.0,15
esmc_300M,tm_label,MLP,mcc,4,0.0,15
esmc_300M,tm_label,MLP,mcc,5,0.4325,15
esmc_300M,tm_label,MLP,mcc,6,0.4325,15
esmc_300M,tm_label,MLP,mcc,7,0.2818,15
esmc_300M,tm_label,MLP,mcc,8,0.0,15
esmc_300M,tm_label,MLP,mcc,9,0.0,15
esmc_300M,tm_label,MLP,mcc,10,0.1633,15
esmc_300M,tm_label,MLP,mcc,11,0.4323,15
esmc_300M,tm_label,MLP,mcc,12,-0.0379,15
esmc_300M,tm_label,MLP,mcc,13,-0.0379,15
esmc_300M,tm_label,MLP,mcc,14,-0.0379,15
esmc_300M,disorder_global,LogReg,mcc,0,0.2614,15
esmc_300M,disorder_global,LogReg,mcc,1,0.2311,15
esmc_300M,disorder_global,LogReg,mcc,2,0.2305,15
esmc_300M,disorder_global,LogReg,mcc,3,0.2311,15
esmc_300M,disorder_global,LogReg,mcc,4,0.2648,15
esmc_300M,disorder_global,LogReg,mcc,5,0.2029,15
esmc_300M,disorder_global,LogReg,mcc,6,0.3229,15
esmc_300M,disorder_global,LogReg,mcc,7,0.2919,15
esmc_300M,disorder_global,LogReg,mcc,8,0.3306,15
esmc_300M,disorder_global,LogReg,mcc,9,0.0767,15
esmc_300M,disorder_global,LogReg,mcc,10,0.1686,15
esmc_300M,disorder_global,LogReg,mcc,11,0.2029,15
esmc_300M,disorder_global,LogReg,mcc,12,0.2009,15
esmc_300M,disorder_global,LogReg,mcc,13,0.2215,15
esmc_300M,disorder_global,LogReg,mcc,14,0.2814,15
esmc_300M,disorder_global,RF,mcc,0,0.3542,15
esmc_300M,disorder_global,RF,mcc,1,0.2926,15
esmc_300M,disorder_global,RF,mcc,2,0.2968,15
esmc_300M,disorder_global,RF,mcc,3,0.2612,15
esmc_300M,disorder_global,RF,mcc,4,0.446,15
esmc_300M,disorder_global,RF,mcc,5,0.3561,15
esmc_300M,disorder_global,RF,mcc,6,0.294,15
esmc_300M,disorder_global,RF,mcc,7,0.1994,15
esmc_300M,disorder_global,RF,mcc,8,0.3601,15
esmc_300M,disorder_global,RF,mcc,9,-0.1158,15
esmc_300M,disorder_global,RF,mcc,10,0.3595,15
esmc_300M,disorder_global,RF,mcc,11,0.2725,15
esmc_300M,disorder_global,RF,mcc,12,0.173,15
esmc_300M,disorder_global,RF,mcc,13,0.2189,15
esmc_300M,disorder_global,RF,mcc,14,0.2814,15
esmc_300M,disorder_global,MLP,mcc,0,0.2926,15
esmc_300M,disorder_global,MLP,mcc,1,0.1158,15
esmc_300M,disorder_global,MLP,mcc,2,0.3144,15
esmc_300M,disorder_global,MLP,mcc,3,0.141,15
esmc_300M,disorder_global,MLP,mcc,4,0.2626,15
esmc_300M,disorder_global,MLP,mcc,5,0.3643,15
esmc_300M,disorder_global,MLP,mcc,6,0.3267,15
