model,task,split,F1,MCC
esmc_300m,rmsf,train,0.66,0.28
esmc_300m,rmsf,test,0.63,0.22
esmc_300m,neq,train,0.76,0.38
esmc_300m,neq,test,0.75,0.35
esmc_300m,bfact,train,0.71,0.23
esmc_300m,bfact,test,0.69,0.17
esmc_300m,acc,train,0.83,0.56
esmc_300m,acc,test,0.82,0.53
esmc_300m,sec3,train,0.61,0.44
esmc_300m,sec3,test,0.60,0.42
esmc_300m,sec8,train,0.21,0.31
esmc_300m,sec8,test,0.20,0.30
esmc_600m,rmsf,train,0.66,0.29
esmc_600m,rmsf,test,0.64,0.24
esmc_600m,neq,train,0.77,0.42
esmc_600m,neq,test,0.76,0.39
esmc_600m,bfact,train,0.71,0.24
esmc_600m,bfact,test,0.68,0.17
esmc_600m,acc,train,0.83,0.56
esmc_600m,acc,test,0.82,0.53
esmc_600m,sec3,train,0.66,0.51
esmc_600m,sec3,test,0.64,0.49
esmc_600m,sec8,train,0.22,0.37
esmc_600m,sec8,test,0.22,0.36
ankh2_large,rmsf,train,0.68,0.33
ankh2_large,rmsf,test,0.65,0.29
ankh2_large,neq,train,0.79,0.47
ankh2_large,neq,test,0.79,0.46
ankh2_large,bfact,train,0.72,0.23
ankh2_large,bfact,test,0.70,0.17
ankh2_large,acc,train,0.85,0.61
ankh2_large,acc,test,0.84,0.58
ankh2_large,sec3,train,0.71,0.58
ankh2_large,sec3,test,0.70,0.57
ankh2_large,sec8,train,0.26,0.43
ankh2_large,sec8,test,0.25,0.42
